date,close,high,low,open,close,volume
2003/1/27,1496.157,1500.384,1480.967,1481.609,1479.07,14672600
2003/1/24,1479.07,1483.557,1448.011,1449.504,1450.616,14814600
2003/1/23,1450.616,1470.327,1448.701,1460.249,1460.53,11427599
2003/1/22,1460.53,1463.938,1446.348,1448.826,1454.891,12139944
2003/1/21,1454.891,1489.551,1454.611,1485.87,1482.681,17551200
2003/1/20,1482.681,1482.943,1458.117,1475.711,1478.675,22487800
2003/1/17,1478.675,1492.723,1472.96,1488.265,1485.618,21566700
2003/1/16,1485.618,1486.059,1454.546,1458.866,1459.92,24575400
2003/1/15,1459.92,1485.795,1448.271,1477.454,1466.851,37023000
2003/1/14,1466.851,1476.912,1386.592,1386.897,1386.314,41012400
2003/1/13,1386.314,1391.187,1378.647,1381.87,1384.859,8607700
2003/1/10,1384.859,1411.374,1384.63,1398.377,1397.384,16263300
2003/1/9,1397.384,1402.286,1365.37,1374.618,1372.067,18529300
2003/1/8,1372.067,1373.116,1330.451,1331.441,1332.061,9823400
2003/1/7,1332.061,1346.819,1326.191,1335.632,1334.679,7343200
2003/1/6,1334.679,1334.887,1311.684,1319.688,1319.868,6750100
2003/1/3,1319.868,1323.628,1312.796,1317.583,1320.63,4576474
2003/1/2,1320.63,1351.344,1317.468,1347.433,1357.654,6500700
2002/12/31,1357.654,1370.526,1348.714,1364.968,1366.362,9892700
2002/12/30,1366.362,1379.753,1358.433,1379.737,1382.971,7791300
2002/12/27,1382.971,1389.328,1367.852,1379.328,1384.152,8293600
2002/12/26,1384.152,1420.003,1382.358,1419.965,1421.515,12554400
2002/12/25,1421.515,1433.787,1420.93,1431.588,1430.827,6762700
2002/12/24,1430.827,1431.124,1420.38,1429.531,1430.199,6286700
2002/12/23,1430.199,1439.85,1429.293,1429.951,1427.936,8299900
2002/12/20,1427.936,1431.364,1410.46,1414.345,1413.597,7227100
2002/12/19,1413.597,1414.288,1402.642,1411.276,1411.719,5598400
2002/12/18,1411.719,1424.478,1409.835,1416.671,1416.096,7271200
2002/12/17,1416.096,1418.205,1403.584,1409.173,1408.515,6702700
2002/12/16,1408.515,1409.943,1392.888,1397.721,1396.898,7594400
2002/12/13,1396.898,1401.602,1367.934,1375.779,1383.91,6903001
2002/12/12,1383.91,1399.766,1378.813,1378.817,1379.195,6552300
2002/12/11,1379.195,1383.152,1367.312,1381.399,1383.84,5247800
2002/12/10,1383.84,1406.895,1383.569,1400.558,1400.867,6045300
2002/12/9,1400.867,1410.794,1395.926,1404.513,1405.525,4038300
2002/12/6,1405.525,1416.997,1396.205,1404.925,1404.88,4447300
2002/12/5,1404.88,1411.89,1395.079,1411.89,1414.454,5569800
2002/12/4,1414.454,1432.898,1406.613,1414.887,1408.843,9306000
2002/12/3,1408.843,1409.889,1388.513,1391.718,1395.675,6341000
2002/12/2,1395.675,1432.029,1394.911,1432.029,1434.182,8684900
2002/11/29,1434.182,1450.187,1409.2,1420.429,1417.525,21439700
2002/11/28,1417.525,1417.848,1372.381,1378.142,1378.752,9622900
2002/11/27,1378.752,1383.997,1353.139,1365.824,1371.167,8835000
2002/11/26,1371.167,1408.793,1371.007,1398.438,1398.438,6775801
2002/11/25,1398.438,1403.513,1383.09,1393.341,1395.497,5364400
