"date","time","open","high","low","close","volume"
06/21/2018,1201,186.58,186.59,186.51,186.55,28985
06/21/2018,1202,186.55,186.55,186.37,186.42,48798
06/21/2018,1203,186.43,186.47,186.08,186.13,122662
06/21/2018,1204,186.12,186.16,185.94,185.99,94406
06/21/2018,1205,185.99,186.02,185.94,185.99,33962
06/21/2018,1206,185.98,186.05,185.97,186,98519
06/21/2018,1207,186,186.11,186,186.11,72865
06/21/2018,1208,186.11,186.15,186.01,186.13,42725
06/21/2018,1209,186.14,186.2,186.05,186.06,40965
06/21/2018,1210,186.06,186.08,186.02,186.03,20194
06/21/2018,1211,186.03,186.14,186,186.07,51670
06/21/2018,1212,186.07,186.16,186.04,186.16,14047
06/21/2018,1213,186.16,186.21,186.11,186.19,17823
06/21/2018,1214,186.2,186.29,186.18,186.27,47272
06/21/2018,1215,186.29,186.31,186.25,186.29,23442
06/21/2018,1216,186.28,186.34,186.24,186.3,27395
06/21/2018,1217,186.3,186.33,186.25,186.27,21270
06/21/2018,1218,186.29,186.3,186.08,186.1,62421
06/21/2018,1219,186.1,186.11,185.93,186.05,113375
06/21/2018,1220,186.05,186.14,185.99,186.13,27365
06/21/2018,1221,186.13,186.16,186.07,186.1,24942
06/21/2018,1222,186.11,186.15,186.07,186.12,15528
06/21/2018,1223,186.13,186.17,186.06,186.09,23038
06/21/2018,1224,186.1,186.12,186.03,186.06,23582
06/21/2018,1225,186.05,186.07,186,186.04,27027
06/21/2018,1226,186.03,186.07,185.97,185.97,55071
06/21/2018,1227,185.96,185.96,185.81,185.95,48105
06/21/2018,1228,185.96,185.98,185.64,185.7,88431
06/21/2018,1229,185.71,185.71,185.47,185.56,84755
06/21/2018,1230,185.54,185.54,185.39,185.5,105616
06/21/2018,1231,185.51,185.66,185.46,185.63,53909
06/21/2018,1232,185.63,185.64,185.52,185.52,44875
06/21/2018,1233,185.52,185.52,185.39,185.42,53794
06/21/2018,1234,185.44,185.44,185.09,185.11,94294
06/21/2018,1235,185.12,185.3,185.09,185.27,71300
06/21/2018,1236,185.26,185.38,185.24,185.35,57593
