date,delay,distance,origin,destination
01081335,46,308,SJC,LAX
01170920,-4,588,BWI,BNA
01091038,15,256,PHX,LAS
01181105,-4,447,SAN,SFO
01032115,24,197,LAS,ONT
02251138,14,187,CRP,HOU
03020745,13,371,SNA,OAK
01041522,5,342,SNA,SJC
03271705,-2,251,MDW,STL
03291639,31,1020,HOU,PHX
02011807,0,229,MDW,DTW
03132142,80,328,BWI,PVD
01211740,0,587,JAN,MCO
01291935,-7,365,TUS,LAS
02181140,13,1489,IND,PHX
02111910,-5,803,ISP,BNA
01180700,-3,237,DAL,TUL
03041215,18,337,LAX,OAK
02101938,10,293,LBB,DAL
03101700,-15,337,OAK,LAX
03191125,8,543,PDX,OAK
03172100,-5,446,OAK,SAN
02222135,3,358,BUR,SMF
02232055,65,458,DAL,HRL
02100800,0,487,LAS,ABQ
03231129,6,359,HOU,JAN
02211350,-8,611,MDW,BWI
02251130,0,487,ABQ,LAS
03221025,0,397,SMF,LAS
03201920,-8,162,IND,MDW
03071103,20,883,BWI,PBI
03311425,0,1180,SEA,ABQ
02022108,5,569,SJC,PDX
02171837,-16,1591,LAS,IND
01252157,45,389,ONT,SMF
01030740,-2,587,TPA,RDU
03121115,6,1020,PHX,HOU
03210845,10,325,ONT,PHX
02262045,18,399,BOI,SEA
02221415,-10,543,PDX,OAK
01220810,-3,197,ONT,LAS
02221655,12,677,ABQ,LAX
01160700,-8,313,OKC,MCI
02060815,-6,677,LAX,ABQ
03230945,-13,1448,PHX,BNA
03302123,5,313,OKC,MCI
02041525,-6,666,MDW,JAN
03221100,-8,636,ELP,SAN
03220940,-14,462,OKC,STL
01031709,112,480,SAN,SMF
01091710,11,1262,PHX,STL
01081900,-2,370,PHX,LAX
02041855,-2,236,LAS,LAX
03021555,-2,325,PHX,ONT
03071830,3,570,BHM,MDW
02221625,-6,1093,FLL,ISP
03160755,0,321,BHM,MSY
03262050,12,410,STL,CMH
03261907,20,255,BWI,RDU
02190820,8,1044,MCI,PHX
01220745,-1,487,TPA,MSY
03261950,18,616,BNA,MCO
01131920,-3,612,BNA,TPA
01111745,8,515,BWI,IND
02261605,61,256,PHX,LAS
03102048,8,303,MSY,HOU
01290805,-9,1448,BNA,PHX
01221615,-13,1140,LAS,MCI
02121135,-1,405,MDW,MCI
03171440,-12,646,OAK,PHX
03220805,-5,1448,BNA,PHX
03211538,0,258,LAS,SAN
02051840,7,328,ABQ,PHX
01051415,-1,480,SMF,SAN
03292155,28,386,SJC,LAS
02112055,10,189,AUS,DAL
01082002,7,1140,LAS,MCI
02191305,13,180,TPA,JAX
01291010,-5,422,SLC,RNO
01242058,84,177,BNA,BHM
02251757,82,239,HOU,DAL
03230845,-13,1624,LAS,SDF
03031720,-2,307,CLE,MDW
02150725,-4,308,LAX,SJC
01172140,0,314,BWI,CLE
03020845,15,342,SNA,SJC
03251845,0,335,BOI,RNO
02120710,-12,803,BNA,ISP
01240905,5,628,ABQ,SAN
02111835,11,671,SEA,OAK
01052015,7,258,LAS,SAN
03021430,0,621,PHX,SJC
03272105,-10,451,MCI,IND
02151704,0,762,PDX,LAS
01031325,44,759,ABQ,HOU
01120005,162,1020,PHX,HOU
03161335,-3,319,DAL,MAF
01310855,28,697,SJC,SEA
02131513,8,919,MCI,SLC
01061704,2,377,BWI,MHT
02121315,0,550,MSY,MCO
02011230,-32,2237,ALB,LAS
03310720,-2,446,OAK,SAN
03141743,14,967,BWI,MCI
02201445,-5,251,MDW,STL
02201820,0,248,DAL,SAT
03221325,-4,487,MSY,TPA
03251215,0,938,MHT,BNA
01251340,-4,223,BUR,LAS
03201250,-3,562,ELP,DAL
02061510,3,197,ONT,LAS
03161943,49,480,SMF,SAN
02210853,20,417,SJC,SAN
02261150,0,371,SNA,OAK
03071135,-10,671,SEA,OAK
02131942,18,1140,LAS,MCI
03051343,16,395,BNA,MDW
01051222,12,588,BWI,BNA
01192115,-15,1020,PHX,HOU
02251359,3,368,SLC,LAS
01262118,69,337,OAK,LAX
03281850,-3,281,BWI,BUF
01080735,3,177,BNA,BHM
03021932,0,405,MDW,MCI
02160655,7,342,SJC,SNA
01141715,14,236,LAS,LAX
03141000,5,630,SLC,PDX
01230755,5,283,BWI,BDL
02011720,-8,229,IND,STL
02171955,-10,515,IND,BWI
01171445,0,251,MDW,STL
03312040,-17,1142,MCO,MHT
03281600,-7,258,LAS,SAN
01260715,-8,318,JAX,FLL
02060645,-10,550,MSY,MCO
01020645,-2,446,SAN,OAK
02261843,22,1363,LAX,MCI
03261448,10,304,SAN,PHX
03081055,-9,460,BHM,TPA
03210930,1,281,BUF,BWI
02180700,-10,359,HOU,JAN
02171148,19,303,HOU,MSY
01200940,-5,1977,BNA,SEA
02111000,-13,417,SJC,SAN
02041500,93,550,MCO,MSY
02091910,27,1072,MCI,MCO
01092040,1,223,LAS,BUR
02111300,-3,1262,PHX,STL
01271905,0,233,HRL,SAT
01201450,-8,308,LAX,SJC
01262000,55,632,MDW,RDU
02090630,3,293,LBB,DAL
03191645,33,1448,PHX,BNA
02232030,-7,370,PHX,LAX
02061135,-3,397,LAS,SMF
01121952,100,1162,AUS,RDU
03200930,-2,189,DAL,AUS
01131025,0,328,PHX,ABQ
02021846,20,248,DAL,SAT
02121133,99,308,SJC,LAX
02111957,14,793,BNA,FLL
02081315,-7,967,MCI,BWI
03101150,0,390,LAX,RNO
03241220,-19,1142,MCO,MHT
01270755,0,192,HOU,SAT
01190915,-5,395,BNA,MDW
03030805,4,314,BWI,CLE
03310815,-2,248,SAT,DAL
